date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:18	72148/72148	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:18	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:19	84568/84568	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202021%2016:38:18%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:19	125016/125016	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:19	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:20	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot?	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:20	13608/13608	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:20	16812/16812	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:20	34092/34092	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:20	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202021%2016:38:20%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:21	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:22	74320/74320	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:22	96248/96248	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:22	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202021%2016:38:21%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:22	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/font/Flaticon.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
12:38:22	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot?	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
12:38:23	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.eot?	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/font/Flaticond41d.eot	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
12:38:23	2368/2368	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff2	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/font/Flaticon.woff2	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
12:38:23	2972/2972	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.woff	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/font/Flaticon.woff	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
12:38:23	4100/4100	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.ttf	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/font/Flaticon.ttf	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
12:38:23	15197/15197	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/Flaticon.svg	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/font/Flaticon.svg	(from https://affixtheme.com/html/xmee/demo/font/flaticon.css)
12:38:24	435151/435151	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Nov%202021%2003:27:38%20GMT	https://affixtheme.com/html/xmee/demo/img/figure/bg33-1.jpg	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/img/figure/bg33-1.jpg	(from https://affixtheme.com/html/xmee/demo/style.css)
12:38:25	186228/186228	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	F:/Plantillas/estructura/prueba%20login%201/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
